
Similarity Threshold,Article ID,Title,Journal,Authors,Affiliations,Keywords,Cluster to which the article was assigned,Number of articles in the selected cluster,Cluster ultimately selected in Phase 2 matching,Status of ReCiter's determination for this article with respect to reference standard
0.3,15371818,Early onset hereditary papillary renal carcinoma: germline missense mutations in the tyrosine kinase domain of the met proto-oncogene.,The Journal of urology,"Laura S Schmidt, Michael L Nickerson, Debora null Angeloni, Gladys M Glenn, Mcclellan M Walther, Paul S Albert, Michelle B Warren, Peter L Choyke, Carlos A Torres-cabala, Maria J Merino, Joan null Brunet, Victa²ria null Ba©rez, Joan null Borra s, Giovanni null Sesia, Lindsay null Middelton, John L Phillips, Catherine null Stolle, Berton null Zbar, Stephen E Pautler, W Marston Linehan, ","Basic Research Program, SAIC-Frederick, Inc., Frederick, Maryland, USA. schmidtl@mail.ncifcrf.gov, ","Adenocarcinoma, Papillary,Adult,Age Factors,Aged,Chromosomes, Human, Pair 7,Exons,Female,Germ-Line Mutation,Heterozygote Detection,Humans,Kidney,Kidney Neoplasms,Male,Middle Aged,Mutation, Missense,Neoplasms, Multiple Primary,Pedigree,Penetrance,Protein-Tyrosine Kinases,Proteins,Proto-Oncogene Proteins,Proto-Oncogene Proteins c-met,Receptors, Growth Factor,Survival Analysis,Trisomy,src Homology Domains,",1,147,No,True Negative
0.3,15352043,"Carotenoids, vitamin A and risk of adenomatous polyp recurrence in the polyp prevention trial.",International journal of cancer. Journal international du cancer,"Susan null Steck-scott, Michele R Forman, Anne null Sowell, Craig B Borkowf, Paul S Albert, Martha null Slattery, Brenda null Brewer, Bette null Caan, Electra null Paskett, Frank null Iber, Walt null Kikendall, James null Marshall, Moshe null Shike, Joel null Weissfeld, Kirk null Snyder, Arthur null Schatzkin, Elaine null Lanza, ","Department of Nutrition, University of North Carolina at Chapel Hill, Chapel Hill, NC 57299, USA. susan_scott@unc.edu, ","Adenomatous Polyps,Aged,Alcohol Drinking,Antioxidants,Carotenoids,Colonic Neoplasms,Diet,Female,Humans,Life Style,Male,Middle Aged,Neoplasm Recurrence, Local,Odds Ratio,Patient Compliance,Risk Factors,Smoking,beta Carotene,",1,147,No,True Negative
0.3,15180668,A cautionary note on the robustness of latent class models for estimating diagnostic error without a gold standard.,Biometrics,"Paul S Albert, Lori E Dodd, ","Biometric Research Branch, Division of Cancer Treatment and Diagnosis, National Cancer Institute, Bethesda, Maryland 20892, USA. Albertp@ctep.nci.nih.gov, ","Biometry,Dental Caries,Diagnostic Errors,Humans,Likelihood Functions,Models, Statistical,Sensitivity and Specificity,",1,147,No,True Negative
0.3,15076830,The effects of payment method on clinical decision-making: physician responses to clinical scenarios.,Medical care,"Joannie null Shen, Ronald null Andersen, Robert null Brook, Gerald null Kominski, Paul S Albert, Neil null Wenger, ","Laboratory of Clinical Studies, National Institute on Alcoholism and Alcohol Abuse, National Institutes of Health, Bethesda, MD 20814-1610, USA. jshen@nih.gov, ","Attitude of Health Personnel,Burnout, Professional,Capitation Fee,Clinical Competence,Decision Making,Fee-for-Service Plans,Female,Health Care Surveys,Humans,Linear Models,Logistic Models,Male,Managed Care Programs,Middle Aged,Outcome Assessment (Health Care),Patient Selection,Physician Incentive Plans,Physician's Practice Patterns,Physicians, Family,Professional Practice Location,Questionnaires,United States,",1,147,No,True Negative
0.3,15047820,Induction of autoantibodies to CCR5 in macaques and subsequent effects upon challenge with an R5-tropic simian/human immunodeficiency virus.,Journal of virology,"Bryce null Chackerian, Lindsey null Briglio, Paul S Albert, Douglas R Lowy, John T Schiller, ","Laboratory of Cellular Oncology, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892, USA. brycec@nih.gov, ","AIDS Vaccines,Animals,Antibody Specificity,Autoantibodies,B-Lymphocytes,Genetic Variation,HIV-1,Humans,Immunization, Secondary,Immunoglobulin G,Macaca nemestrina,Mice,Mice, Inbred C57BL,Receptors, CCR5,Receptors, HIV,Simian immunodeficiency virus,Virus Replication,",1,147,No,True Negative
0.3,15013699,Polycyclic aromatic hydrocarbon-DNA adducts determined by semiquantitative immunohistochemistry in human esophageal biopsies taken in 1985.,Mutation research,"Hilde E Van gijssel, Laura J Schild, Danielle L Watt, Mark J Roth, Guo-qing null Wang, Sanford M Dawsey, Paul S Albert, You-lin null Qiao, Philip R Taylor, Zhi-wei null Dong, Miriam C Poirier, ","Laboratory of Cellular Carcinogenesis and Tumor Promotion, Center for Cancer Research, NIH, 37 Convent Dr., MSC-4255, Bethesda, MD 20892-4255, USA., ","Asian Continental Ancestry Group,Carcinogens,DNA Adducts,Diagnostic Imaging,Endoscopy,Esophageal Neoplasms,Esophagectomy,Humans,Immunohistochemistry,Pilot Projects,Polycyclic Hydrocarbons, Aromatic,Retrospective Studies,Risk Factors,",1,147,No,True Negative
0.3,15000702,Mitochondrial toxicity in fetal Erythrocebus patas monkeys exposed transplacentally to zidovudine plus lamivudine.,AIDS research and human retroviruses,"Mariana null Gerschenson, Vi null Nguyen, Ember L Ewings, Andrea null Ceresa, Jaclyn A Shaw, Marisa C St claire, Kunio null Nagashima, Steven W Harbaugh, Jeffrey W Harbaugh, Ofelia A Olivero, Rao L Divi, Paul S Albert, Miriam C Poirier, ","Division of Heart and Vascular Diseases, National Heart, Lung, and Blood Institute, National Institutes of Health, 6701 Rockledge Drive, Bethesda, MD 20892, USA., ","Animals,Anti-HIV Agents,Brain,DNA, Mitochondrial,Erythrocebus patas,Female,Fetus,Lamivudine,Maternal-Fetal Exchange,Microscopy, Electron,Mitochondria,Muscle, Skeletal,Myocardium,Organ Specificity,Placenta,Pregnancy,Reverse Transcriptase Inhibitors,Zidovudine,",1,147,No,True Negative
0.3,14969468,Modeling tumor growth with random onset.,Biometrics,"Paul S Albert, Joanna H Shih, ","Biometric Research Branch, National Cancer Institute, Executive Plaza North, Room 8136, Bethesda, Maryland 20892-7434, USA. AlbertP@ctep.NCI.NIH.GOV, ","Animals,Cell Division,Disease Models, Animal,Mice,Mutation,Neoplasms,",1,147,No,True Negative
0.3,14752073,Urinary VEGF and MMP levels as predictive markers of 1-year progression-free survival in cancer patients treated with radiation therapy: a longitudinal study of protein kinetics throughout tumor progression and therapy.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"Linda W Chan, Marsha A Moses, Elizabeth null Goley, Mary null Sproull, Thierry null Muanza, C Norman Coleman, William D Figg, Paul S Albert, Cynthia null Ma©nard, Kevin null Camphausen, ","Radiation Oncology Branch, Radiation Oncology Sciences Program, Center for Cancer Research, National Cancer Institute, National Institutes of Health, 10 Center Drive, Building 10, Room B3/B69, Bethesda, MD, 20892-1002, USA., ","Adult,Aged,Case-Control Studies,Creatinine,Disease Progression,Disease-Free Survival,Female,Follow-Up Studies,Humans,Longitudinal Studies,Male,Matrix Metalloproteinases,Middle Aged,Neoplasms,Predictive Value of Tests,Tumor Markers, Biological,Vascular Endothelial Growth Factor A,",1,147,No,True Negative
0.3,14732922,High frequency of CDKN2A alterations in esophageal squamous cell carcinoma from a high-risk Chinese population.,"Genes, chromosomes ","Nan null Hu, Chaoyu null Wang, Hua null Su, Wen-jun null Li, Michael R Emmert-buck, Guang null Li, Mark J Roth, Ze-zhong null Tang, Ning null Lu, Carol null Giffen, Paul S Albert, Philip R Taylor, Alisa M Goldstein, ","Center for Cancer Research, National Cancer Institute, Bethesda, Maryland 20892-7236, USA., ","Alleles,Asian Continental Ancestry Group,BRCA2 Protein,Carcinoma, Squamous Cell,Cell Cycle Proteins,China,Chromosome Banding,Chromosome Deletion,Chromosomes, Human, Pair 9,Cyclin-Dependent Kinase Inhibitor p15,Cyclin-Dependent Kinase Inhibitor p16,Esophageal Neoplasms,Female,Gene Frequency,Genes, p16,Genetic Predisposition to Disease,Humans,Loss of Heterozygosity,Male,Microsatellite Repeats,Mutation,Polymorphism, Single-Stranded Conformational,Population Surveillance,Tumor Suppressor Protein p53,Tumor Suppressor Proteins,",1,147,No,True Negative
0.3,14695531,Solid renal tumor severity in von Hippel Lindau disease is related to germline deletion length and location.,Human mutation,"Jodi K Maranchie, Anoushka null Afonso, Paul S Albert, Sivaram null Kalyandrug, John L Phillips, Shubo null Zhou, James null Peterson, Bijan M Ghadimi, Katheen null Hurley, Joseph null Riss, James R Vasselli, Thomas null Ried, Berton null Zbar, Peter null Choyke, Mcclellan M Walther, Richard D Klausner, W Marston Linehan, ","Urologic Oncology Branch, National Cancer Institute, Bethesda, Maryland 20892, USA., ","Adult,Carcinoma, Renal Cell,Chromosome Mapping,Chromosomes, Human, Pair 3,Germ-Line Mutation,Humans,Kidney Neoplasms,Phenotype,Sequence Deletion,von Hippel-Lindau Disease,",1,147,No,True Negative
0.3,14695205,Cellular and genetic characterization of human adult bone marrow-derived neural stem-like cells: a potential antiglioma cellular vector.,Cancer research,"Jeongwu null Lee, Abdel G Elkahloun, Steven A Messina, Nicolay null Ferrari, Dan null Xi, Carolyn L Smith, Ronald null Cooper, Paul S Albert, Howard A Fine, ","Neuro-Oncology Branch, National Cancer Institute, National Institute of Neurological Disorders and Stroke, National Cancer Institute, Bethesda, Maryland 20892, USA., ","Adult,Animals,Bone Marrow Cells,Brain Neoplasms,Cell Differentiation,Cell Movement,Genetic Therapy,Glioma,Humans,Immunohistochemistry,Mice,Mice, SCID,Neurons,Oligonucleotide Array Sequence Analysis,Stem Cells,Transgenes,",1,147,No,True Negative
0.3,14651979,Interaction of 14-3-3 proteins with the insulin-like growth factor I receptor (IGFIR): evidence for a role of 14-3-3 proteins in IGFIR signaling.,Biochemical and biophysical research communications,"Susan L Spence, Bhakta R Dey, Cheryl null Terry, Paul null Albert, Peter null Nissley, Richard W Furlanetto, ","Metabolism Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892, USA., ","14-3-3 Proteins,Animals,COS Cells,Carcinogenicity Tests,Cell Division,Cercopithecus aethiops,Humans,Mice,Mutation,NIH 3T3 Cells,Receptor, IGF Type 1,Recombinant Proteins,Signal Transduction,Structure-Activity Relationship,Tetradecanoylphorbol Acetate,Tyrosine 3-Monooxygenase,",1,147,No,True Negative
0.3,14625264,Relationship between serum leptin levels and alcohol consumption in a controlled feeding and alcohol ingestion study.,Journal of the National Cancer Institute,"Mark J Roth, David J Baer, Paul S Albert, Thomas W Castonguay, Joanne F Dorgan, Sanford M Dawsey, Ellen D Brown, Terry J Hartman, William S Campbell, Carol A Giffen, Joseph T Judd, Philip R Taylor, ","Cancer Prevention Studies Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Rockville, MD, USA. mr166i@nih.gov, ","Age Factors,Aged,Alcohol Drinking,Autoimmune Diseases,Cross-Over Studies,Female,Humans,Insulin,Leptin,Middle Aged,Neoplasms,Postmenopause,Risk Factors,",1,147,No,True Negative
0.3,14578153,Evidence for a familial esophageal cancer susceptibility gene on chromosome 13.,"Cancer epidemiology, biomarkers ","Nan null Hu, Alisa M Goldstein, Paul S Albert, Carol null Giffen, Ze-zhong null Tang, Ti null Ding, Philip R Taylor, Michael R Emmert-buck, ","Center for Cancer Research, National Cancer Institute, Bethesda, Maryland 20892, USA., ","Carcinoma, Squamous Cell,Chromosomes, Human, Pair 13,Esophageal Neoplasms,Genetic Predisposition to Disease,Genome,Humans,Loss of Heterozygosity,Microsatellite Repeats,Pedigree,",1,147,No,True Negative
0.3,12948287,Physical activity and risk of endometrial cancer in a prospective cohort study (United States).,"Cancer causes ","Lisa H Colbert, James V Lacey, Catherine null Schairer, Paul null Albert, Arthur null Schatzkin, Demetrius null Albanes, ","Laboratory of Epidemiology, Demography and Biometry, National Institute on Aging, Bethesda, MD, USA. lisa.colbert@att.net, ","Aged,Breast Neoplasms,Cohort Studies,Endometrial Neoplasms,Exercise,Female,Follow-Up Studies,Humans,Middle Aged,Physical Fitness,Prospective Studies,Risk Assessment,United States,",1,147,No,True Negative
0.3,12946034,Non-steroidal anti-inflammatory drug use is associated with reduction in recurrence of advanced and non-advanced colorectal adenomas (United States).,"Cancer causes ","Joseph A Tangrea, Paul S Albert, Elaine null Lanza, Karen null Woodson, Don null Corle, Marsha null Hasson, Randall null Burt, Bette null Caan, Electra null Paskett, Frank null Iber, J Walter Kikendall, Peter null Lance, Moshe null Shike, Joel null Weissfeld, Arthur null Schatzkin, ","Cancer Prevention Studies Branch, Center for Cancer Research, National Cancer Institute, Bethesda, MD 20892-7058, USA. jt48w@nih.gov, ","Adenoma,Adenomatous Polyps,Aged,Analysis of Variance,Anti-Inflammatory Agents, Non-Steroidal,Aspirin,Clinical Trials as Topic,Colorectal Neoplasms,Female,Follow-Up Studies,Humans,Incidence,Male,Middle Aged,Neoplasm Recurrence, Local,Odds Ratio,Prospective Studies,United States,",1,147,No,True Negative
0.3,12933619,Parametric and semiparametric approaches to testing for seasonal trend in serial count data.,"Biostatistics (Oxford, England)","Sally null Hunsberger, Paul S Albert, Dean A Follmann, Edward null Suh, ","National Cancer Institute, 6130 Executive Blvd. MSC 7434, Bethesda, MD 20892-7434, USA. hunsber@helix.nih.gov, ",",",1,147,No,True Negative
0.3,12876090,Incidence of cancer and mortality following alpha-tocopherol and beta-carotene supplementation: a postintervention follow-up.,JAMA,"Jarmo null Virtamo, Pirjo null Pietinen, Jussi K Huttunen, Pasi null Korhonen, Nea null Malila, Mikko J Virtanen, Demetrius null Albanes, Phil R Taylor, Paul null Albert, ","National Public Health Institute, Helsinki, Finland., ","Aged,Antioxidants,Cause of Death,Dietary Supplements,Follow-Up Studies,Humans,Incidence,Lung Neoplasms,Male,Middle Aged,Neoplasms,Prostatic Neoplasms,Risk,Smoking,alpha-Tocopherol,beta Carotene,",1,147,No,True Negative
0.3,12704611,Using lowess to remove systematic trends over time in predictor variables prior to logistic regression with quantile categories.,Statistics in medicine,"Craig B Borkowf, Paul S Albert, Christian C Abnet, ","National Cancer Institute, Center for Cancer Research, Cancer Prevention Studies Branch, 6116 Executive Blvd., Suite 705, MSC 8314, Bethesda, MD 20892-8314, USA. CBorkowf@cdc.gov, ","Adult,Aged,Biological Markers,Case-Control Studies,China,Computer Simulation,Esophageal Neoplasms,Female,Forecasting,Humans,Logistic Models,Male,Middle Aged,Models, Biological,Odds Ratio,Risk Assessment,Sphingosine,",1,147,No,True Negative
0.3,12696060,Analysis of genetic stability at the EP300 and CREBBP loci in a panel of cancer cell lines.,"Genes, chromosomes ","Guy W Tillinghast, Jason null Partee, Paul null Albert, Jenny M Kelley, Kenneth H Burtow, Kathleen null Kelly, ","Cell and Cancer Biology Branch, National Cancer Institute, National Institutes of Health, Bethesda, Maryland, USA., ","CREB-Binding Protein,Chromosome Aberrations,DNA Mutational Analysis,DNA, Neoplasm,Female,Genes, Neoplasm,Genetic Markers,HL-60 Cells,HT29 Cells,Humans,K562 Cells,Loss of Heterozygosity,Male,Microsatellite Repeats,Nuclear Proteins,Trans-Activators,Tumor Cells, Cultured,",1,147,No,True Negative
0.3,12496053,Semiquantitation of polycyclic aromatic hydrocarbon-DNA adducts in human esophagus by immunohistochemistry and the automated cellular imaging system.,"Cancer epidemiology, biomarkers ","Hilde E Van gijssel, Rao L Divi, Ofelia A Olivero, Mark J Roth, Guo-qing null Wang, Sanford M Dawsey, Paul S Albert, You-lin null Qiao, Philip R Taylor, Zhi-wei null Dong, Jeffrey A Schrager, David E Kleiner, Miriam C Poirier, ","Laboratory of Cellular Carcinogenesis and Tumor Promotion, Division of Cancer Treatment and Diagnosis, National Cancer Institute, NIH, Bethesda, Maryland 20892, USA., ","7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide,Animals,Automation,Carcinoma, Squamous Cell,China,Culture Media,Culture Techniques,DNA Adducts,Diagnostic Imaging,Esophageal Neoplasms,Esophagectomy,Humans,Immunohistochemistry,Keratinocytes,Polycyclic Hydrocarbons, Aromatic,Rabbits,Reference Values,Reproducibility of Results,Sampling Studies,Sensitivity and Specificity,",1,147,No,True Negative
0.3,12432247,Clinicopathologic implications of hMSH2 gene expression and microsatellite instability in prostate cancer.,"Cancer biology ","Alfredo null Velasco, Paul S Albert, Helmar null Rosenberg, Carlos null Martinez, Fredrick S Leach, ","Department of Urology, Catholic University of Chile, Santiago, Chile., ","Aged,DNA-Binding Proteins,Gene Expression Regulation, Neoplastic,Humans,Immunohistochemistry,Male,Microsatellite Repeats,Middle Aged,MutS Homolog 2 Protein,Prostatic Neoplasms,Proto-Oncogene Proteins,Time Factors,",1,147,No,True Negative
0.3,12229998,A latent autoregressive model for longitudinal binary data subject to informative missingness.,Biometrics,"Paul S Albert, Dean A Follmann, Shaohua A Wang, Edward B Suh, ","Biometric Research Branch, National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892, USA. albertp@ctep.nci.nih.gov, ","Algorithms,Biometry,Buprenorphine,Clinical Trials as Topic,Humans,Longitudinal Studies,Methadone,Models, Statistical,Monte Carlo Method,Narcotics,Opioid-Related Disorders,Regression Analysis,",1,147,No,True Negative
0.3,12229992,Design of a binary biomarker study from the results of a pilot study.,Biometrics,"Paul S Albert, Lisa M Mcshane, Edward L Korn, ","Biometric Research Branch, National Cancer Institute, Bethesda, Maryland 20892-7434, USA. albertp@ctep.nci.nih.gov, ","Biological Markers,Biometry,Humans,Likelihood Functions,Linear Models,Pilot Projects,Reproducibility of Results,Tumor Markers, Biological,Tumor Suppressor Protein p53,Urinary Bladder Neoplasms,",1,147,No,True Negative
0.3,12175424,Use of complementary/alternative therapies by women with advanced-stage breast cancer.,BMC complementary and alternative medicine,"Joannie null Shen, Ronald null Andersen, Paul S Albert, Neil null Wenger, John null Glaspy, Melissa null Cole, Paul null Shekelle, ","Laboratory of Clinical Sciences, National Institute of Alcoholism and Alcohol Abuse, National Institutes of Health, Bethesda, MD, USA. jshen@nih.gov, ","Adult,Breast Neoplasms,Complementary Therapies,Health Knowledge, Attitudes, Practice,Herbal Medicine,Humans,Middle Aged,Neoplasm Staging,Physician-Patient Relations,Questionnaires,United States,",1,147,No,True Negative
0.3,12082547,Antitumor activity and prolonged expression from a TRAIL-expressing adenoviral vector.,"Neoplasia (New York, N.Y.)","Jeongwu null Lee, Monika null Hampl, Paul null Albert, Howard A Fine, ","Neuro-Oncology Branch, National Cancer Institute, National Institute of Neurologic Disorders and Stroke/NIH, 10 Center Drive, Bethesda, MD, USA., ","Adenoviruses, Human,Animals,Apoptosis,Apoptosis Regulatory Proteins,Ascites,Astrocytes,Brain Neoplasms,Burkitt Lymphoma,Carcinoma,Cells, Cultured,Colonic Neoplasms,DNA, Complementary,Defective Viruses,Endothelium, Vascular,Fibroblasts,Gene Expression,Gene Library,Genes, Synthetic,Genetic Therapy,Genetic Vectors,Glioblastoma,Humans,Male,Mammary Neoplasms, Experimental,Membrane Glycoproteins,Mice,Mice, Nude,Peritoneal Neoplasms,Reverse Transcriptase Polymerase Chain Reaction,TNF-Related Apoptosis-Inducing Ligand,Transfection,Tumor Cells, Cultured,Tumor Necrosis Factor-alpha,Umbilical Veins,Xenograft Model Antitumor Assays,",1,147,No,True Negative
0.3,11857301,Differential expression of the mismatch repair gene hMSH2 in malignant prostate tissue is associated with cancer recurrence.,Cancer,"Alfredo null Velasco, Stephen M Hewitt, Paul S Albert, M null Hossein, Helmar null Rosenberg, Carlos null Martinez, Arthur I Sagalowsky, John D Mcconnell, W null Marston, Fredrick S Leach, ","Urologic Oncology Branch, National Cancer Institute, Bethesda, Maryland 20892-1501, USA., ","Aged,Cell Transformation, Neoplastic,DNA-Binding Proteins,Humans,Immunohistochemistry,Male,Middle Aged,MutS Homolog 2 Protein,Neoplasm Recurrence, Local,Prognosis,Prostate,Prostatic Neoplasms,Proto-Oncogene Proteins,Time Factors,Tumor Markers, Biological,",1,147,No,True Negative
0.3,25630563,Is the fetoplacental ratio a differential marker of fetal growth restriction in small for gestational age infants?,European journal of epidemiology,"Miguel Angel Luque-fernandez, Cande V Ananth, Vincent w v null Jaddoe, Romy null Gaillard, Paul S Albert, Michael null Schomaker, Patrick null Mcelduff, Daniel A Enquobahrie, Bizu null Gelaye, Michelle A Williams, ","Department of Epidemiology, Harvard T.H. Chan School of Public Health Boston, 677 Huntington Avenue, Boston, MA, 02215, USA, mluquefe@hsph.harvard.edu., ",",",2,1,No,True Negative
0.3,25502632,Evidence Revealing Deregulation of The KLF11-Mao A Pathway in Association with Chronic Stress and Depressive Disorders.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,"Sharonda null Harris, Shakevia null Johnson, Jeremy W Duncan, Chinelo null Udemgba, Jeffrey H Meyer, Paul R Albert, Gwen null Lomberk, Raul null Urrutia, Xiao-ming null Ou, Craig A Stockmeier, Jun Ming Wang, ","Department of Psychiatry and Human Behavior, Jackson, MS, USA., Department of Psychiatry and Human Behavior, Jackson, MS, USA., 1] Department of Psychiatry and Human Behavior, Jackson, MS, USA [2], Department of Psychiatry and Human Behavior, Jackson, MS, USA., Centre for Addiction and Mental Health and Department of Psychiatry, University of Toronto, Toronto, Ontario, Canada., Ottawa Hospital Research Institute (Neuroscience), Ottawa, Ontario, Canada., Epigenetics and Chromatin Dynamics Laboratory, GI Research Unit, Mayo Clinic, Rochester, MN, USA., Epigenetics and Chromatin Dynamics Laboratory, GI Research Unit, Mayo Clinic, Rochester, MN, USA., Department of Psychiatry and Human Behavior, Jackson, MS, USA., 1] Department of Psychiatry and Human Behavior, Jackson, MS, USA [2], 1] Department of Psychiatry and Human Behavior, Jackson, MS, USA [2]",",",3,9,No,True Negative
0.3,23915421,"The expression of KLF11 (TIEG2), a monoamine oxidase B transcriptional activator in the prefrontal cortex of human alcohol dependence.","Alcoholism, clinical and experimental research","Chinelo null Udemgba, Shakevia null Johnson, Craig A Stockmeier, Jia null Luo, Paul R Albert, Junming null Wang, Warren L May, Grazyna null Rajkowska, Sharonda null Harris, Donald B Sittman, Xiao-ming null Ou, 23915421 null 23915421, ","Department of Psychiatry and Human Behavior , University of Mississippi Medical Center, Jackson, Mississippi., University of Mississippi Medical Center University of Mississippi Medical Center Univ. of Mississippi Medical Center Jackson United States Case Western Reserve University Case Western Reserve University Cleveland United States University of Kentucky College of Medicine Univ. of Kentucky Coll. of Medicine University of Kentucky College of Medicine Univ. Kentucky Coll. Med. Lexington United States Ottawa Hospital Research Institute Ottawa Health Research Institute Ottawa Canada ","Alcohol Dependence,Blood Alcohol Content,Brain Tissue Damage,Human Postmortem Prefrontal Cortex,Kruppel-Like Factor 11 (Transforming Growth Factor-Beta-Inducible Early Gene 2),Monoamine Oxidase,Alcoholism,Cell Cycle Proteins,Female,Gene Expression Regulation,Humans,Male,Middle Aged,Monoamine Oxidase,Prefrontal Cortex,Repressor Proteins,Retrospective Studies,Transcriptional Activation,",3,9,No,True Negative
0.3,22628545,Mechanistic role for a novel glucocorticoid-KLF11 (TIEG2) protein pathway in stress-induced monoamine oxidase A expression.,The Journal of biological chemistry,"Matthew null Grunewald, Shakevia null Johnson, Deyin null Lu, Zhe null Wang, Gwen null Lomberk, Paul R Albert, Craig A Stockmeier, Jeffrey H Meyer, Raul null Urrutia, Klaus A Miczek, Mark C Austin, Junming null Wang, Ian A Paul, William L Woolverton, Seungmae null Seo, Donald B Sittman, Xiao-ming null Ou, 22628545 null 22628545, ","Department of Psychiatry and Human Behavior, University of Mississippi Medical Center, Jackson, Mississippi 39216, USA., University of Mississippi Medical Center University of Mississippi Medical Center Univ. of Mississippi Medical Center Jackson United States Mayo Clinic Mayo Clinic Rochester United States Ottawa Hospital Research Institute Ottawa Health Research Institute Ottawa Canada University of Toronto University of Toronto Toronto Canada Tufts University Tufts University Medford United States Case Western Reserve University Case Western Reserve University Cleveland United States ","Animals,Blotting, Western,Cell Cycle Proteins,Cell Line, Tumor,Cells, Cultured,Chromatin Immunoprecipitation,Chromatography, High Pressure Liquid,Corticosterone,DNA-Binding Proteins,Dexamethasone,Fluorescent Antibody Technique,Gene Expression,Humans,Male,Mice,Mice, Knockout,Monoamine Oxidase,Radioimmunoassay,Rats,Rats, Wistar,Real-Time Polymerase Chain Reaction,Repressor Proteins,Serotonin,Stress, Physiological,Transcription Factors,",3,9,No,True Negative
0.3,22328058,17I²-estradiol-induced regulation of the novel 5-HT1A-related transcription factors NUDR and Freud-1 in SH SY5Y cells.,Cellular and molecular neurobiology,"Samuel O Adeosun, Paul R Albert, Mark C Austin, Abiye H Iyo, 22328058 null 22328058, ","Graduate Program in Neuroscience, School of Graduate Studies in the Health Sciences, University of Mississippi Medical Center, Jackson, MS 39216-4505, USA., University of Mississippi Medical Center University of Mississippi Medical Center Univ. of Mississippi Medical Center Jackson United States Ottawa Hospital Research Institute Ottawa Health Research Institute Ottawa Canada ","Biological Markers,Cell Line, Tumor,DNA-Binding Proteins,Depressive Disorder,Down-Regulation,Estradiol,Humans,Neuroblastoma,Nuclear Proteins,Receptor, Serotonin, 5-HT1A,",3,9,No,True Negative
0.3,21654740,"The reduction of R1, a novel repressor protein for monoamine oxidase A, in major depressive disorder.",Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,"Shakevia null Johnson, Craig A Stockmeier, Jeffrey H Meyer, Mark C Austin, Paul R Albert, Junming null Wang, Warren L May, Grazyna null Rajkowska, James C Overholser, George null Jurjus, Lesa null Dieter, Chandra null Johnson, Donald B Sittman, Xiao-ming null Ou, 21654740 null 21654740, ","Department of Psychiatry and Human Behavior, University of Mississippi Medical Center, Jackson, MS, USA., University of Mississippi Medical Center University of Mississippi Medical Center Univ. of Mississippi Medical Center Jackson United States Case Western Reserve University Case Western Reserve University Cleveland United States University of Toronto University of Toronto Toronto Canada The Ottawa Hospital Ottawa General Hospital Ottawa Civic Hospital Ottawa Hospital Ottawa Hospital Research Institute Ottawa Canada ","Apoptosis,Depressive Disorder, Major,Female,Humans,Male,Middle Aged,Monoamine Oxidase,Repressor Proteins,Retrospective Studies,",3,9,No,True Negative
0.3,20392296,"Decreased expression of Freud-1/CC2D1A, a transcriptional repressor of the 5-HT1A receptor, in the prefrontal cortex of subjects with major depression.",The international journal of neuropsychopharmacology / official scientific journal of the Collegium Internationale Neuropsychopharmacologicum (CINP),"Bernadeta null Szewczyk, Paul R Albert, Anastasia null Rogaeva, Heidi null Fitzgibbon, Warren L May, Grazyna null Rajkowska, Jose J Miguel-hidalgo, Craig A Stockmeier, William L Woolverton, Patrick B Kyle, Zhixia null Wang, Mark C Austin, ","Department of Psychiatry and Human Behavior, University of Mississippi Medical Center, Jackson, MS 39216-4505, USA., ","Adolescent,Adult,Age Factors,Aged,Aged, 80 and over,Animals,DNA-Binding Proteins,Depressive Disorder, Major,Down-Regulation,Female,Humans,Macaca mulatta,Male,Middle Aged,Prefrontal Cortex,Receptor, Serotonin, 5-HT1A,Retrospective Studies,Young Adult,",3,9,No,True Negative
0.3,19423080,Human Freud-2/CC2D1B: a novel repressor of postsynaptic serotonin-1A receptor expression.,Biological psychiatry,"Mahmoud R Hadjighassem, Mark C Austin, Bernadeta null Szewczyk, Mireille null Daigle, Craig A Stockmeier, Paul R Albert, ","Ottawa Health Research Institute (Neuroscience), University of Ottawa, Ottawa, Ontario K1H-8M5, Canada., ","Adult,Brain,Cell Line, Transformed,Cell Line, Tumor,Cloning, Molecular,DNA-Binding Proteins,Depressive Disorder, Major,Down-Regulation,Electrophoretic Mobility Shift Assay,Humans,Male,Middle Aged,Nerve Tissue Proteins,Neuroblastoma,Postmortem Changes,Promoter Regions, Genetic,Protein Binding,RNA, Small Interfering,Receptor, Serotonin, 5-HT1A,Repressor Proteins,Transfection,",3,9,No,True Negative
